150 PA5-A-OurOutput-Iter=3.txt 6
-4.950387   -1.842629   -14.909658   100.657847   -4.349462   54.512106
  -33.36     0.90   -15.97      -33.40     1.40   -15.12       0.988
   -5.50    22.24    40.10       -5.51    22.10    40.05       0.156
   20.93     7.23   -32.81       20.95     7.73   -31.56       1.338
   -5.72    -3.47    50.68       -5.08    -3.13    50.80       0.738
   25.49    15.65    32.74       24.92    15.19    32.64       0.743
    8.04    22.93    23.55        8.08    23.60    23.65       0.671
  -18.85     9.95   -23.98      -18.98    10.85   -23.86       0.915
   -6.54   -23.05   -22.95       -5.33   -23.91   -22.57       1.526
   -5.14   -19.10   -40.23       -4.85   -19.47   -40.53       0.555
    9.84   -12.92    -2.64        9.69   -14.25    -2.21       1.400
   -0.84   -16.04   -10.73       -0.65   -17.19   -10.14       1.307
   28.12     0.25    34.31       27.59     0.53    34.15       0.618
   -6.60   -22.17   -21.46       -5.34   -22.96   -20.89       1.593
  -13.67   -26.52   -37.82      -13.45   -27.21   -38.19       0.815
   39.00    11.16     8.04       38.72    11.02     8.06       0.315
   29.33    -9.28     8.22       29.33    -9.26     8.21       0.020
    1.45    -1.73   -24.04        1.50    -1.69   -24.11       0.100
   20.33    13.53   -30.68       20.51    13.66   -30.89       0.311
   22.33    18.80    28.25       22.18    18.56    28.17       0.298
   21.39    21.49    16.07       21.49    21.69    16.09       0.215
  -15.54     6.91   -12.54      -15.45     6.67   -12.56       0.264
  -28.51   -15.79   -44.64      -28.77   -15.87   -45.05       0.496
   -3.81     4.45   -23.64       -3.59     4.71   -23.69       0.335
   11.51     8.18   -19.29       13.05     8.69   -19.13       1.630
    4.60    -2.54    60.78        4.48    -2.62    62.18       1.405
   31.83   -10.16     4.59       31.79    -9.94     4.58       0.231
   23.06     0.83    53.93       23.02     0.85    53.92       0.048
   40.71     1.32    11.78       39.70     1.30    10.65       1.520
  -36.95   -15.49   -34.23      -37.74   -15.52   -34.97       1.079
   37.15    -5.82    11.08       36.56    -5.22    10.89       0.868
   -6.25    23.04    29.62       -6.20    24.72    29.98       1.716
   25.99   -12.00    -0.46       26.06   -11.58    -0.62       0.455
  -22.70     9.25   -22.86      -22.90    10.30   -22.85       1.070
   -4.48     6.71   -18.53       -4.53     7.14   -18.77       0.499
    8.43    -7.04    47.87        8.44    -7.13    47.87       0.093
   -2.05    21.60    53.16       -1.58    20.22    52.90       1.485
   29.22    13.87   -19.44       30.29    14.53   -19.84       1.313
   -7.26     6.86   -23.54       -7.05     7.37   -23.80       0.610
  -37.35   -19.95   -19.41      -37.96   -20.37   -19.10       0.794
   33.21    -9.20    -7.07       33.26    -9.28    -7.05       0.090
  -27.42   -16.20   -45.00      -27.44   -16.33   -45.32       0.342
   -3.83     2.38   -28.33       -3.95     2.30   -28.30       0.148
   -2.50    22.14     8.38       -1.99    21.56     8.71       0.840
  -33.17     3.27   -35.56      -33.39     3.44   -35.77       0.349
   14.83    22.24    41.19       14.66    21.76    41.18       0.508
