150 PA5-A-OurOutput-Iter=9.txt 6
-9.198152   -2.219543   -21.856047   129.273301   20.489773   70.512645
  -33.14     0.90   -15.80      -33.08     1.04   -15.59       0.259
   -5.08    22.22    40.17       -5.08    22.22    40.17       0.001
   21.12     7.09   -32.79       21.12     7.26   -32.43       0.398
   -5.33    -3.48    50.78       -4.92    -3.30    50.83       0.450
   25.88    15.55    32.74       25.78    15.46    32.72       0.131
    8.42    22.87    23.59        8.43    23.04    23.60       0.176
  -18.63     9.91   -23.86      -18.61    10.13   -23.84       0.226
   -6.39   -23.12   -22.83       -6.20   -23.20   -22.77       0.215
   -5.02   -19.19   -40.12       -4.85   -19.26   -40.15       0.189
   10.06   -13.02    -2.58        9.91   -13.33    -2.49       0.360
   -0.64   -16.11   -10.64       -0.58   -16.36   -10.51       0.282
   28.47     0.15    34.31       28.51     0.13    34.33       0.046
   -6.45   -22.24   -21.34       -6.32   -22.30   -21.31       0.145
  -13.57   -26.59   -37.68      -13.54   -26.68   -37.73       0.107
   39.32    11.01     8.00       39.12    10.90     8.00       0.224
   29.60    -9.40     8.23       29.54    -9.73     8.34       0.350
    1.65    -1.82   -23.96        1.64    -1.83   -23.95       0.021
   20.54    13.39   -30.66       20.52    13.37   -30.63       0.042
   22.72    18.71    28.25       22.62    18.54    28.27       0.189
   21.75    21.39    16.07       21.73    21.33    16.07       0.068
  -15.29     6.87   -12.42      -15.28     6.82   -12.43       0.058
  -28.40   -15.83   -44.48      -28.41   -15.83   -44.51       0.035
   -3.59     4.38   -23.55       -3.46     4.59   -23.57       0.251
   11.74     8.07   -19.25       12.02     8.35   -19.30       0.397
    5.02    -2.56    60.85        4.95    -2.63    61.74       0.894
   32.08   -10.30     4.59       32.13   -10.36     4.59       0.071
   23.47     0.76    53.95       23.62     0.72    53.98       0.153
   41.01     1.17    11.75       40.84     1.15    11.53       0.278
  -36.81   -15.50   -34.04      -37.14   -15.51   -34.25       0.386
   37.44    -5.97    11.07       37.45    -5.99    11.07       0.025
   -5.85    23.01    29.69       -5.91    23.73    29.80       0.734
   26.22   -12.13    -0.44       26.22   -12.15    -0.43       0.023
  -22.47     9.21   -22.73      -22.50     9.29   -22.72       0.085
   -4.25     6.63   -18.44       -4.25     6.63   -18.44       0.006
    8.81    -7.08    47.93        8.78    -6.82    47.93       0.261
   -1.60    21.58    53.23       -1.57    21.42    53.21       0.163
   29.47    13.72   -19.45       29.65    13.81   -19.52       0.212
   -7.04     6.79   -23.45       -6.89     7.04   -23.43       0.292
  -37.18   -19.95   -19.22      -37.19   -19.95   -19.21       0.004
   33.43    -9.36    -7.07       33.66    -9.66    -7.09       0.382
  -27.31   -16.24   -44.83      -27.31   -16.24   -44.81       0.023
   -3.63     2.30   -28.24       -3.50     2.36   -28.25       0.147
   -2.16    22.09     8.45       -1.99    21.81     8.53       0.330
  -32.99     3.25   -35.40      -33.01     3.26   -35.42       0.031
   15.26    22.17    41.21       15.21    21.99    41.22       0.187
   22.16    19.28    46.42       21.96    18.97    46.43       0.372
   31.05    -1.67    26.24       30.98    -1.64    26.21       0.088
   21.89    -7.35    19.91       21.88    -7.29    19.90       0.066
   25.13    -5.44    28.81       25.11    -5.41    28.80       0.040
   20.95    -5.72    38.34       20.92    -5.66    38.34       0.060
   23.66     5.05    58.75       23.91     4.99    58.79       0.256
   20.72    22.33     9.74       20.71    22.29     9.73       0.041
    6.26    22.56    29.36        6.28    22.82    29.38       0.261
  -11.14    13.81    12.34      -11.10    13.77    12.36       0.062
  -10.45    11.57     2.07      -10.18    11.17     2.16       0.500
  -34.23    -3.80   -14.04      -34.36    -3.70   -13.93       0.200
   -1.57   -17.81   -25.54       -1.50   -17.95   -25.54       0.151
    6.27    -9.12    14.12        6.22    -8.97    14.08       0.160
  -27.61   -27.67   -20.22      -27.64   -27.74   -20.21       0.081
   30.12   -11.46    -1.37       30.22   -11.61    -1.34       0.187
  -37.19   -20.19   -19.48      -37.18   -20.19   -19.48       0.012
  -22.67     9.61   -34.15      -22.68     9.65   -34.15       0.039
  -39.09   -18.50   -27.19      -39.36   -18.61   -27.21       0.292
   -3.13    -6.55    46.36       -3.10    -6.09    46.27       0.471
    9.74    22.29    37.03        9.74    22.38    37.04       0.096
    2.90    -8.50    23.29        2.80    -8.30    23.25       0.224
  -29.87     4.10   -38.35      -29.84     4.09   -38.32       0.038
   27.12     9.46    44.55       27.32     9.44    44.60       0.202
   37.64    -5.78    11.13       37.65    -5.79    11.14       0.015
    2.54    -8.46    25.71        2.50    -8.14    25.70       0.323
   -1.10   -13.09   -37.97       -1.13   -13.07   -37.94       0.045
  -32.88     1.31   -16.15      -32.82     1.46   -15.94       0.258
   -8.63   -23.37   -38.89       -8.59   -23.40   -38.93       0.068
  -33.99     5.47   -21.75      -34.00     5.48   -21.75       0.013
   -7.18    20.02    47.28       -7.02    19.80    47.22       0.278
  -20.39   -26.27   -13.78      -20.39   -26.37   -13.69       0.133
  -40.20    -2.16   -27.10      -40.43    -2.06   -27.07       0.254
   32.74    -9.96    -6.60       32.91   -10.23    -6.59       0.318
   35.61    -4.45   -13.02       35.81    -4.49   -13.11       0.224
   -1.52    22.68    39.38       -1.51    22.85    39.39       0.168
  -19.83     0.22    -0.77      -19.32     0.12    -0.87       0.523
  -11.64   -26.68   -35.84      -11.60   -26.74   -35.87       0.077
  -11.70    -0.53    27.11      -11.13    -0.43    26.95       0.600
  -22.47    -8.76    -4.47      -22.51    -8.75    -4.41       0.073
  -13.10     9.11   -27.53      -13.08     9.22   -27.52       0.119
  -10.62   -12.43   -46.06      -10.61   -12.43   -46.09       0.036
   27.98    -6.02    19.84       28.01    -6.17    19.88       0.159
   28.86     8.00    35.21       28.87     8.00    35.21       0.013
   -6.96   -18.89   -41.32       -7.16   -18.87   -41.65       0.385
  -37.73     1.30   -27.78      -37.91     1.45   -27.82       0.237
   25.91    -3.42    34.23       25.92    -3.43    34.23       0.015
  -23.46    -1.76   -45.82      -23.45    -1.75   -45.80       0.023
  -34.26   -11.33   -41.14      -34.36   -11.33   -41.20       0.115
   19.32    -6.05    37.25       19.31    -6.00    37.25       0.047
   38.17    11.81     3.26       38.08    11.73     3.29       0.122
  -12.91   -29.18   -27.12      -12.85   -29.34   -27.11       0.177
   39.24    -0.63    -6.55       39.36    -0.86    -6.40       0.301
   15.70   -13.84     0.73       15.67   -13.76     0.69       0.090
   21.45    20.15    56.83       21.23    19.79    56.84       0.430
  -28.73     6.44   -16.03      -28.61     6.32   -16.19       0.236
   -5.64    -8.34   -47.41       -5.46    -8.34   -46.98       0.477
    1.66    24.58     6.82        1.97    24.12     6.91       0.563
   -8.36   -13.92    -4.33       -8.34   -13.87    -4.34       0.056
   -6.47   -18.11   -11.68       -6.52   -18.05   -11.71       0.087
   27.17    -3.96    29.00       27.18    -3.97    29.00       0.017
  -39.92    -3.02   -22.40      -40.05    -2.96   -22.36       0.151
   36.16    -5.86     4.67       36.23    -5.92     4.65       0.094
   14.52    22.86    21.78       14.52    22.84    21.78       0.020
   -8.21   -23.67   -37.89       -8.15   -23.83   -37.97       0.185
   19.04    -3.54    59.29       19.08    -3.63    59.30       0.100
  -14.39    21.28    32.51      -14.80    21.86    32.97       0.842
  -33.09   -19.13   -13.39      -33.17   -19.17   -13.32       0.104
   -2.82    20.37    56.97       -2.55    20.10    56.95       0.380
  -24.54   -28.63   -32.43      -24.58   -28.81   -32.50       0.195
   25.93    14.73    45.25       25.89    14.72    45.24       0.042
  -19.28   -30.26   -30.96      -19.30   -30.40   -31.00       0.142
   24.31    22.67     1.24       24.27    22.53     1.23       0.140
   31.65    -4.08    21.28       31.67    -4.11    21.29       0.040
  -10.22    -8.20    18.73       -9.77    -7.95    18.67       0.514
   -6.72    -0.16    48.64       -6.57    -0.15    48.62       0.152
   30.20   -11.52    -7.35       30.28   -11.71    -7.33       0.209
   12.18    15.42   -32.53       12.27    15.23   -32.13       0.451
  -13.47     9.63     3.90      -13.27     9.36     3.97       0.348
  -23.61     8.11   -16.46      -23.59     8.11   -16.40       0.062
   25.42    -6.40    22.84       25.42    -6.42    22.84       0.019
    7.72    13.72   -24.48        8.12    13.95   -24.44       0.469
   35.63    13.66    -2.86       35.83    13.71    -2.90       0.213
   20.94    23.21     2.87       20.96    23.28     2.88       0.076
   17.74    24.05     2.77       17.80    24.24     2.81       0.206
  -30.29   -26.85   -28.82      -30.33   -26.91   -28.82       0.073
   23.06   -10.62   -23.39       22.90   -10.62   -23.64       0.297
    1.37    23.08    30.15        1.43    23.49    30.16       0.411
  -29.56     5.33   -37.83      -29.55     5.31   -37.82       0.028
   20.35    -3.47    53.22       20.31    -3.43    53.22       0.062
  -33.73    -9.66   -42.02      -33.78    -9.66   -42.05       0.065
   12.39    -6.81    41.97       12.38    -6.63    41.97       0.185
   18.61    22.09   -23.55       18.63    22.15   -23.56       0.067
    1.41    -8.25   -28.86        1.28    -8.30   -28.82       0.140
   21.90   -10.64     3.23       21.91   -10.53     3.19       0.116
  -13.56     1.19    22.43      -12.79     1.52    22.24       0.857
   18.46    -2.86   -21.32       18.41    -2.87   -21.38       0.075
  -20.70   -30.12   -26.06      -20.72   -30.31   -26.04       0.193
  -19.72     2.04    -3.91      -19.28     1.89    -3.94       0.465
   13.50    -7.37    25.06       13.49    -7.11    25.05       0.262
   26.13    19.36   -20.71       26.20    19.45   -20.75       0.125
  -11.66    21.91    30.89      -11.54    23.07    31.23       1.212
   42.48     2.50     8.94       42.28     2.47     8.91       0.199
   26.56    14.58    38.05       26.40    14.46    38.04       0.198
   35.28     7.35    17.65       35.13     7.29    17.57       0.183
   13.51    23.65    58.35       13.50    23.27    58.37       0.382
