150 PA5-B-OurOutput-Iter=1.txt 6
12.563132   47.045053   14.055229   -10.641501   4.168052   5.331557
    5.89     3.38   -17.95        6.16     4.10   -18.75       1.118
  -20.86   -32.69   -22.00      -20.86   -32.24   -22.06       0.455
  -36.48   -16.37   -51.17      -33.75   -14.15   -45.87       6.362
   32.80    -4.22   -13.36       34.78    -5.42   -13.38       2.314
   17.86    14.07    60.78       18.87    14.84    60.96       1.278
   -6.07   -15.17   -46.53       -7.97   -14.31   -44.38       2.993
  -14.23    19.83    20.23      -14.30    19.87    20.19       0.093
  -17.80    -4.98    -6.45      -20.77    -4.38    -4.62       3.544
   -4.70     5.58    62.81       -4.70     5.59    63.34       0.527
    8.27    21.87     6.89        6.22    24.72     6.23       3.566
  -19.26     0.18   -17.01      -21.45     3.94   -13.11       5.846
   -0.19   -12.62   -29.67        0.42   -12.72   -29.94       0.666
   18.59    19.24    21.83       19.59    22.24    22.01       3.172
   -4.73    -1.09    50.66       -5.47    -1.35    50.65       0.790
   26.55     6.69    19.17       29.53     7.00    20.47       3.267
   31.75    -5.81   -12.65       33.16    -7.25   -12.36       2.036
   18.28    -5.66    16.38       18.58    -6.89    16.60       1.283
   24.06    11.18    21.02       27.64    12.19    22.21       3.903
  -14.30    17.02    20.02      -15.04    17.31    19.53       0.931
   16.26    19.78    37.56       16.61    21.39    37.65       1.652
  -37.30    -0.00   -26.08      -40.04     1.85   -26.25       3.312
   32.97     8.75   -10.49       36.74    10.11   -11.96       4.268
  -14.67    -9.30   -52.89      -15.66   -10.11   -48.56       4.516
   18.83    21.68     1.54       20.48    26.05     1.90       4.683
   28.73     7.63   -26.29       30.77     7.81   -27.88       2.599
   -8.95   -17.29   -10.59       -8.33   -19.74    -9.07       2.956
   12.13    21.39    -5.79        9.96    23.04    -7.19       3.060
   19.97    -7.73     2.88       20.67    -9.98     3.79       2.525
  -30.70     2.45   -21.72      -34.10     6.60   -20.36       5.536
    2.70    10.08    -6.98        2.11    11.60    -7.71       1.781
   14.56    -5.98   -27.48       15.21    -5.71   -22.42       5.111
   21.13    -1.63    48.11       20.53    -0.99    48.05       0.879
  -27.88   -15.27   -12.65      -28.68   -16.59    -7.44       5.435
   -5.75     3.57    62.00       -6.25     3.38    62.04       0.533
   -4.39    15.36     8.90       -4.51    15.51     8.77       0.232
   -3.71    -2.37    57.11       -4.43    -3.00    57.18       0.962
   -5.70     1.00    32.73       -7.13     0.90    32.89       1.438
    0.68   -16.64    -9.62        0.86   -17.64    -9.11       1.139
   13.02    -5.91    14.87       13.38    -8.07    15.45       2.265
   -2.54    -0.26    65.97       -2.54    -0.26    63.42       2.546
   -0.68   -16.93    -9.97       -0.51   -18.03    -9.45       1.219
  -22.29     5.59   -25.71      -22.22    12.00   -24.58       6.512
   21.48     6.09    65.17       20.67     5.52    62.11       3.216
  -27.45   -17.43   -13.26      -28.15   -16.93    -7.35       5.978
    1.75     5.98    65.85        1.86     5.92    63.49       2.364
    2.38   -18.11   -19.56        2.28   -17.97   -19.53       0.172
  -31.62   -29.86   -44.18      -29.71   -25.94   -40.39       5.778
  -40.81   -19.63   -22.27      -41.18   -19.78   -22.17       0.409
   30.15     7.27   -20.25       34.12     7.40   -22.07       4.368
   -3.34    16.94    35.93       -4.07    21.01    37.60       4.465
    6.66    16.82    61.48        6.87    18.09    62.54       1.662
   -8.25   -27.23   -42.18      -10.30   -24.93   -40.21       3.655
   -5.48    -0.58    43.20       -5.80    -0.70    43.23       0.352
  -10.71     3.02     3.37      -13.27     3.92     3.66       2.729
  -39.71   -25.94   -40.76      -35.64   -22.96   -38.05       5.729
   -9.09     6.79    12.54      -11.27     7.96    11.93       2.544
   16.89    20.39   -16.14       14.79    24.07   -16.46       4.244
    6.25   -14.76   -21.93        5.72   -14.22   -21.53       0.849
    3.51    -6.46    58.62        3.45    -7.31    58.60       0.849
   35.10     0.31     2.69       37.34    -1.63     2.42       2.968
  -12.16   -20.63   -50.94      -14.07   -18.00   -46.54       5.472
   24.40   -12.69   -22.55       24.06   -11.61   -21.65       1.441
   27.55     0.12   -31.80       27.61     1.03   -29.86       2.147
   15.82    20.47    19.03       16.23    23.49    19.76       3.133
   -5.46     2.67    51.24       -6.64     2.56    51.13       1.192
  -30.49   -19.53   -52.66      -29.99   -16.71   -46.94       6.391
   13.02     8.11   -24.14       16.71     8.39   -23.56       3.744
  -33.21   -19.26   -14.91      -35.21   -20.91   -12.21       3.742
   -1.94    15.89    39.62       -2.38    19.59    41.41       4.130
   29.18    -2.26    15.10       29.60    -2.82    15.35       0.738
   14.05    19.75    43.26       14.85    21.53    43.36       1.951
   -7.66     0.71    17.06       -9.96    -0.10    17.89       2.570
  -46.42   -17.68   -36.48      -39.89   -17.00   -35.11       6.705
   12.86   -12.28    -1.27       14.09   -14.92     0.24       3.274
   33.07     5.29   -14.41       36.77     4.64   -15.17       3.830
   22.69     9.84   -28.72       22.09     9.01   -29.96       1.600
  -11.73   -15.33   -51.87      -14.09   -14.64   -47.90       4.669
  -12.95   -27.98   -45.98      -13.81   -24.80   -42.34       4.902
   10.14    20.33    29.79       10.15    22.57    30.21       2.279
   22.92     3.73    50.90       22.14     3.85    50.74       0.801
   -4.36     6.08    63.66       -4.36     6.07    63.33       0.330
    8.61    -5.42    39.50        8.78    -6.60    39.51       1.189
   25.25     5.62    28.32       26.76     5.47    28.79       1.588
    3.73    14.01    -2.08        2.71    15.07    -2.70       1.596
  -33.29     1.48   -44.54      -32.49     0.04   -42.60       2.547
   17.15    -5.32    18.99       17.50    -6.73    19.21       1.468
   20.31    10.80    59.47       20.96    11.02    59.58       0.702
   -6.67    -8.60    13.56       -6.57    -8.47    13.54       0.162
    5.65    16.96    50.75        4.69    19.64    50.91       2.855
    9.51    -6.82    63.38        9.39    -6.62    63.25       0.271
  -32.43   -19.96   -14.65      -34.46   -21.59   -12.07       3.664
   32.22     9.48   -13.68       35.82    10.74   -14.43       3.897
   22.18     7.96    52.32       22.27     7.96    52.34       0.099
  -21.52     6.92   -37.51      -21.59     8.40   -38.36       1.704
   -5.60     1.92   -25.44       -3.87     3.44   -26.64       2.595
   20.28    -4.73   -28.00       22.14    -4.32   -25.39       3.225
   -0.91    16.20    40.61       -1.82    19.70    41.32       3.681
