150 PA5-B-OurOutput-Iter=9.txt 6
45.540516   137.350450   73.433368   -4.671123   -32.957134   6.338869
    6.99     5.10   -15.38        7.00     5.12   -15.39       0.029
  -20.51   -30.42   -19.16      -20.40   -30.59   -18.94       0.303
  -35.76   -14.00   -48.47      -35.44   -14.00   -48.01       0.562
   33.74    -3.04   -10.70       33.51    -2.93   -10.64       0.255
   19.14    16.16    63.27       19.22    16.22    63.27       0.106
   -5.33   -13.42   -43.82       -5.22   -13.44   -43.90       0.140
  -12.79    22.28    22.65      -12.21    22.08    22.82       0.630
  -16.87    -2.66    -3.83      -16.85    -2.67    -3.83       0.018
   -3.60     8.16    65.35       -3.60     8.17    65.36       0.002
    9.76    23.73     9.32        9.73    23.92     9.32       0.186
  -18.21     2.45   -14.44      -18.25     2.64   -14.38       0.203
    0.59   -10.86   -26.98        0.67   -10.85   -27.06       0.116
   20.01    21.00    24.29       20.06    21.13    24.28       0.138
   -3.76     1.40    53.26       -3.83     1.35    53.27       0.090
   27.70     8.26    21.74       27.79     8.28    21.77       0.105
   32.65    -4.60    -9.98       32.49    -4.41   -10.05       0.256
   19.17    -3.93    19.04       19.16    -3.99    19.05       0.052
   25.30    12.81    23.54       25.43    12.88    23.56       0.147
  -12.93    19.47    22.46      -12.80    19.44    22.52       0.139
   17.68    21.71    40.01       17.62    21.62    40.01       0.110
  -36.25     2.58   -23.52      -36.26     2.59   -23.52       0.009
   34.18     9.95    -7.94       34.39    10.00    -7.99       0.225
  -13.81    -7.41   -50.23      -13.85    -7.45   -50.05       0.195
   20.31    23.27     3.98       20.41    23.55     3.98       0.295
   29.93     8.80   -23.73       29.95     8.81   -23.73       0.028
   -8.28   -15.18    -7.86       -8.26   -15.40    -7.75       0.242
   13.61    23.06    -3.35       13.53    23.52    -3.47       0.474
   20.83    -6.15     5.55       20.83    -6.25     5.58       0.105
  -29.61     4.92   -19.17      -29.71     5.24   -18.92       0.421
    3.94    11.95    -4.46        3.91    12.00    -4.48       0.056
   15.47    -4.52   -24.83       15.49    -4.30   -24.33       0.542
   22.08     0.29    50.73       21.87     0.50    50.69       0.302
  -27.17   -12.78    -9.96      -27.14   -12.63    -9.74       0.265
