150 PA5-C-OurOutput-Iter=1.txt 6
22.677894   2.022822   -14.369561   -10.850899   -1.943898   -12.744898
   21.75    11.45    28.98       25.22    12.54    29.95       3.763
  -25.29   -23.88    -9.50      -25.29   -24.21    -9.15       0.485
  -38.25     5.56   -29.02      -37.38     4.84   -28.86       1.139
   12.25    21.36    29.71       12.25    22.60    29.95       1.261
  -12.63     5.08    -7.22      -12.89     5.60    -7.14       0.583
    5.91    19.84    42.29        5.79    20.67    42.42       0.847
  -10.84    -5.23     5.70      -12.04    -6.46     6.46       1.872
    2.30   -14.27   -27.55        1.41   -14.13   -27.16       0.979
   -4.55    -0.80   -36.50       -4.65    -0.86   -36.47       0.124
    8.23    23.94    11.49        7.84    25.37    11.50       1.484
  -10.12     9.72    35.96       -8.95    10.31    35.59       1.362
  -16.14   -32.52   -25.08      -16.25   -32.11   -25.11       0.430
   25.15     0.87    15.99       28.71    -1.78    18.52       5.097
  -17.02    21.09    23.95      -15.69    20.33    24.25       1.560
   12.84    -2.13    56.08       14.53    -5.12    56.29       3.440
  -36.22   -18.17   -43.10      -35.56   -17.70   -42.43       1.047
   12.44    -9.93   -26.50       10.92    -9.05   -22.12       4.725
  -38.11   -13.27   -11.43      -38.00   -13.27   -11.54       0.152
    9.50     9.32   -17.02        9.16     7.93   -14.89       2.573
   24.18     6.93   -33.59       24.13     7.21   -30.46       3.142
   -7.04    13.64    51.26       -5.30    12.84    51.07       1.923
   -1.33    -6.30    62.06       -1.19    -6.05    62.07       0.289
  -41.63     1.65   -30.51      -40.51     0.83   -30.08       1.444
  -33.37   -15.05   -47.05      -33.16   -14.52   -45.81       1.365
    0.93    18.22     2.92        1.59    17.75     3.34       0.912
   18.33     6.49   -29.10       20.04     6.98   -28.26       1.963
  -22.18     7.02   -42.98      -22.29     5.63   -41.68       1.907
   -7.26   -13.77    -3.96       -7.43   -15.04    -3.17       1.503
    0.99    19.61     5.26        1.16    19.46     5.38       0.257
  -28.69   -13.33    -6.17      -28.70   -13.35    -6.13       0.042
  -11.94   -27.53   -40.75      -12.52   -26.49   -39.93       1.446
   32.28    10.19     7.98       35.03    10.70    10.27       3.616
  -32.31     5.99   -40.14      -31.40     5.04   -39.05       1.700
   32.25    18.38   -15.10       31.97    18.16   -15.01       0.362
   25.67     6.72   -33.90       25.25     7.00   -30.31       3.621
   13.05    17.49   -18.70       12.53    17.27   -18.70       0.568
  -14.42    11.77    30.64      -14.13    12.18    30.43       0.545
    9.36    24.98     1.72        9.01    25.49     1.56       0.639
   35.90    -3.64    -9.22       35.81    -3.54    -9.23       0.133
   -2.74    14.98     4.40       -2.50    14.76     4.52       0.348
   11.56    18.42   -28.21       11.80    18.52   -28.16       0.272
    6.01    16.99    -6.70        6.64    16.53    -6.28       0.883
  -25.73   -14.83    -6.46      -25.71   -14.83    -6.52       0.070
