150 PA5-C-OurOutput-Iter=9.txt 6
74.533761   -3.050073   -41.054105   -37.652122   -13.067194   -28.459666
   22.98    11.62    30.49       23.11    11.64    30.52       0.136
  -24.02   -24.36    -7.43      -24.02   -24.45    -7.35       0.118
  -37.95     4.97   -26.44      -37.82     4.83   -26.42       0.190
   13.29    21.33    31.49       13.26    21.55    31.51       0.222
  -11.93     4.84    -5.12      -11.93     4.84    -5.12       0.001
    7.23    19.56    44.17        7.20    19.66    44.17       0.097
   -9.68    -5.54     7.67       -9.71    -5.57     7.68       0.040
    3.02   -14.02   -25.89        3.02   -14.02   -25.90       0.012
   -4.27    -0.63   -34.60       -4.27    -0.63   -34.60       0.005
    8.88    23.97    13.36        8.85    24.11    13.40       0.147
   -8.71     9.16    38.04       -8.78     9.13    38.06       0.078
  -14.98   -32.68   -23.25      -14.97   -32.74   -23.25       0.069
   26.36     1.22    17.35       26.48     1.17    17.40       0.140
  -16.07    20.49    26.26      -16.03    20.47    26.26       0.038
   14.87    -2.37    57.63       14.97    -2.46    57.64       0.140
  -35.69   -18.59   -40.76      -35.66   -18.57   -40.73       0.048
   13.09    -9.48   -25.00       13.14    -9.24   -24.74       0.358
  -37.09   -14.00    -9.03      -37.05   -14.00    -9.07       0.068
    9.92     9.63   -15.30        9.93     9.52   -15.20       0.147
   24.34     7.69   -32.15       24.41     7.68   -31.92       0.242
   -5.43    13.02    53.32       -5.36    12.96    53.32       0.082
    0.90    -6.89    63.84        0.94    -6.79    63.84       0.110
  -41.28     0.99   -27.90      -41.11     0.88   -27.88       0.202
  -32.99   -15.38   -44.74      -32.99   -15.38   -44.74       0.005
    1.55    18.18     4.88        1.57    18.15     4.89       0.033
   18.59     7.09   -27.56       18.73     7.14   -27.44       0.199
  -22.18     6.88   -40.69      -22.19     6.76   -40.55       0.183
   -6.11   -13.93    -2.13       -6.11   -14.00    -2.08       0.088
    1.62    19.55     7.23        1.65    19.53     7.24       0.034
  -27.58   -13.91    -3.94      -27.58   -13.95    -3.85       0.101
  -11.19   -27.47   -38.95      -11.19   -27.45   -38.93       0.022
   33.14    10.76     9.28       33.22    10.77     9.34       0.101
  -32.23     5.61   -37.66      -32.15     5.46   -37.60       0.181
   32.51    19.14   -13.71       32.54    19.16   -13.71       0.038
   25.83     7.50   -32.49       25.87     7.50   -32.21       0.278
   13.27    17.88   -16.97       13.16    17.81   -16.95       0.129
  -13.15    11.16    32.82      -13.28    11.01    32.87       0.214
    9.81    25.12     3.59        9.75    25.24     3.59       0.137
   36.73    -2.85    -8.10       36.55    -2.65    -8.13       0.266
   -2.03    14.85     6.40       -2.00    14.83     6.41       0.031
   11.58    18.86   -26.44       11.54    18.84   -26.45       0.048
    6.47    17.13    -4.84        6.48    17.13    -4.84       0.010
  -24.60   -15.35    -4.29      -24.58   -15.35    -4.33       0.039
   31.18     1.01   -30.83       31.02     1.11   -30.63       0.267
  -40.98    -0.16   -33.26      -40.80    -0.31   -33.17       0.251
   17.81   -18.17   -15.38       17.87   -17.83   -15.28       0.363
   -3.68    23.65    24.32       -3.73    23.49    24.32       0.169
    9.07   -16.76   -14.90        9.03   -16.63   -14.86       0.139
   -8.49   -23.75   -10.96       -8.44   -23.81   -10.88       0.116
  -10.09   -30.72   -23.69      -10.06   -30.79   -23.68       0.074
  -29.75   -30.32   -33.19      -29.72   -30.28   -33.17       0.053
   30.77     7.41   -31.48       30.56     7.50   -31.18       0.378
   32.34    15.54   -23.15       32.21    15.47   -23.06       0.173
   21.20     7.10   -30.69       21.34     7.12   -30.53       0.210
  -11.44    10.66    17.09      -11.48    10.65    17.08       0.047
   37.40    10.38   -14.41       37.33    10.36   -14.38       0.079
   28.81    12.51    15.19       28.85    12.52    15.20       0.043
  -43.80   -14.89   -26.63      -43.63   -14.96   -26.44       0.268
   36.10    -3.77    -1.16       35.93    -3.63    -1.16       0.220
   18.87     0.44    44.78       19.02     0.37    44.80       0.166
   12.40    19.23   -20.97       12.22    19.16   -20.93       0.194
    8.59   -15.41   -18.94        8.55   -15.25   -18.85       0.184
    8.57   -16.74   -10.12        8.65   -16.52   -10.10       0.231
  -14.14     3.28   -43.66      -14.16     3.20   -43.56       0.128
   28.10   -10.46    -4.81       28.06   -10.40    -4.84       0.081
  -41.59   -13.12   -15.84      -41.59   -13.12   -15.85       0.005
   13.05    25.53     9.16       13.01    25.70     9.20       0.177
   10.75    24.09    13.06       10.77    24.17    13.08       0.084
   17.30    21.62    21.80       17.34    21.79    21.81       0.182
   -7.27     7.61    -3.31       -7.25     7.56    -3.31       0.052
   20.14     7.90    48.81       20.31     7.89    48.84       0.175
  -15.51    21.49    25.58      -15.42    21.43    25.60       0.108
   -3.52    -3.29   -35.38       -3.47    -3.28   -35.38       0.056
  -36.18     1.90   -38.20      -36.08     1.75   -38.07       0.220
   -3.87    -5.59    26.27       -3.86    -5.57    26.27       0.016
  -42.93   -16.46   -23.52      -42.94   -16.46   -23.52       0.017
   -7.88     7.34    41.70       -7.84     7.34    41.69       0.042
   25.44     2.10   -32.23       25.56     2.19   -31.92       0.338
    4.48    -6.51    48.31        4.49    -6.43    48.32       0.084
   -9.09    15.92    14.54       -8.97    15.84    14.68       0.202
    6.34     6.74   -18.27        6.30     6.64   -18.16       0.160
   15.37   -12.75     2.01       15.37   -12.76     2.02       0.017
  -43.51   -15.75   -25.99      -43.44   -15.73   -25.99       0.069
   -6.13   -28.25   -22.19       -6.09   -28.31   -22.18       0.079
    1.62   -18.21    -9.86        1.64   -18.26    -9.84       0.055
   -5.73    17.32    12.41       -5.64    17.32    12.49       0.129
    7.12    21.62    27.09        7.11    21.72    27.10       0.100
   18.15    20.23    31.88       18.21    20.29    31.88       0.088
   -2.40   -19.87   -37.12       -2.41   -19.85   -37.10       0.034
  -21.99   -23.28   -44.93      -21.97   -23.24   -44.87       0.075
    6.60    -6.45    39.27        6.60    -6.35    39.27       0.099
   35.29    -4.64   -21.16       35.09    -4.52   -21.10       0.243
   25.61    23.75     0.37       25.68    23.88     0.40       0.148
   25.08    20.89   -26.51       24.99    20.79   -26.42       0.165
  -22.87     5.89   -13.13      -22.87     5.90   -13.11       0.018
    1.68    17.42    54.61        1.67    17.45    54.61       0.028
    7.57   -12.39     7.36        7.57   -12.38     7.36       0.012
   -3.71    15.61    48.59       -3.73    15.64    48.60       0.037
    4.80    -6.58    33.28        4.80    -6.52    33.28       0.054
   -2.23     4.88   -25.79       -2.33     4.78   -25.71       0.159
   -0.19    17.54    49.06       -0.19    17.56    49.06       0.023
   -9.54   -25.60   -12.26       -9.51   -25.67   -12.21       0.096
  -17.26     3.47    -8.75      -17.26     3.47    -8.75       0.005
   -2.65   -20.53   -36.67       -2.66   -20.52   -36.66       0.019
  -29.53   -31.15   -21.42      -29.54   -31.15   -21.42       0.003
  -36.83   -25.67   -27.30      -36.82   -25.65   -27.29       0.024
   12.17    -6.39    27.30       12.16    -6.28    27.30       0.113
   16.96   -13.73    -1.13       16.97   -13.75    -1.12       0.022
   34.01    -4.14     4.84       33.96    -4.09     4.82       0.076
   12.22    -5.72    41.44       12.21    -5.69    41.44       0.034
   -1.25     2.35   -27.26       -1.33     2.28   -27.20       0.127
  -12.57    -1.84     5.97      -12.65    -1.86     6.03       0.101
  -31.81   -24.39   -11.45      -31.83   -24.40   -11.43       0.027
    9.72    21.65    27.29        9.72    21.80    27.32       0.153
  -11.85    12.71   -25.62      -11.91    12.53   -25.60       0.189
  -27.17    -9.65   -48.01      -27.14    -9.65   -47.91       0.108
  -20.80   -29.68   -12.79      -20.81   -29.73   -12.75       0.063
   -3.42    -5.28   -38.17       -3.44    -5.29   -38.15       0.026
  -10.50    21.12    17.91      -10.40    20.89    18.12       0.323
  -31.53     1.97   -41.37      -31.47     1.86   -41.23       0.187
  -32.51     6.61   -35.35      -32.42     6.46   -35.27       0.188
  -19.56   -12.24    -3.29      -19.57   -12.26    -3.19       0.103
   -8.72   -30.04   -26.71       -8.67   -30.11   -26.72       0.086
   34.97    -4.65    -5.46       34.80    -4.49    -5.44       0.233
   24.39   -16.72   -16.52       24.33   -16.38   -16.49       0.351
    2.82   -16.69   -25.06        2.90   -16.72   -25.08       0.088
  -24.47   -32.70   -19.95      -24.48   -32.76   -19.93       0.061
    9.29    20.38    51.29        9.26    20.46    51.28       0.086
   -4.95    14.18    49.87       -4.90    14.11    49.88       0.086
   22.30    11.44    33.54       22.44    11.46    33.57       0.146
   -3.57    -9.99     5.95       -3.58   -10.00     5.95       0.012
   -7.92     6.90    38.68       -7.92     6.90    38.68       0.002
    1.79    17.59    52.86        1.78    17.63    52.87       0.043
   18.07     3.84    63.18       18.27     3.79    63.19       0.200
   11.11    -5.53    57.25       11.15    -5.59    57.25       0.076
  -38.38   -19.00   -14.26      -38.41   -19.02   -14.24       0.045
   -6.81    23.84    22.15       -6.79    23.62    22.20       0.229
   21.14     7.42    41.76       21.31     7.41    41.79       0.176
   25.46    -7.79     4.49       25.43    -7.62     4.44       0.186
    5.27    -9.30    16.57        5.28    -9.33    16.58       0.030
    8.82     0.28   -23.27        8.81     0.19   -23.14       0.154
  -21.84   -13.64   -48.09      -21.88   -13.68   -48.00       0.103
   23.83    23.30     5.71       23.91    23.49     5.78       0.213
    7.24   -14.48    -0.26        7.31   -14.33    -0.30       0.173
