150 PA5-D-OurOutput-Iter=1.txt 6
2.559206   -37.794091   15.076093   -58.553051   -23.476034   -15.863334
    6.94    -7.47    25.89        6.94    -7.47    25.89       0.001
    4.17    21.42    28.45        4.37    22.91    28.76       1.536
  -24.93    -0.64   -10.20      -24.79    -0.92   -10.52       0.450
   -4.68   -19.40   -36.89       -3.72   -20.05   -37.51       1.313
   -8.34    13.52    27.79      -11.61     9.81    28.86       5.061
   -8.43     1.33   -33.42       -5.97     2.38   -33.27       2.684
   35.34    15.85   -11.44       34.88    15.52   -11.36       0.568
   15.46     4.66   -25.90       17.79     5.95   -24.17       3.177
  -45.09   -19.94   -34.26      -40.15   -19.28   -32.60       5.252
   -7.66     8.39    58.44       -6.82     8.13    58.45       0.869
  -20.10   -20.28   -49.53      -20.31   -19.64   -47.30       2.336
   -6.46   -31.80   -17.70       -8.59   -27.55   -18.87       4.898
   15.98    -5.85    17.13       16.14    -7.27    17.37       1.440
    6.01   -17.26   -19.78        4.99   -16.14   -19.33       1.586
   31.06    -2.55     5.63       33.84    -5.58     5.70       4.112
    0.74    24.47    24.11        0.69    23.92    24.08       0.560
  -12.74    -1.88     6.23      -13.83    -2.06     6.78       1.234
   -8.41   -24.23   -40.93       -8.98   -23.60   -40.38       1.008
  -21.43   -18.11    -3.89      -21.39   -17.78    -6.29       2.420
   -2.60    29.62    15.73       -1.54    23.52    16.77       6.276
  -16.23     8.30   -19.98      -16.23     9.64   -19.39       1.464
    2.78   -21.33   -13.48        2.10   -18.70   -13.47       2.717
   38.87     3.05   -11.90       38.70     3.04   -11.83       0.178
  -22.84   -10.69   -50.19      -22.79   -10.55   -49.77       0.442
  -26.87    12.53   -33.02      -26.33    10.28   -32.51       2.368
  -19.75    -0.39    -4.68      -19.26    -0.73    -5.00       0.683
   -9.16   -33.34   -18.81      -11.32   -29.25   -19.93       4.760
   11.99    28.34    11.36       12.32    26.22    10.59       2.278
   20.83   -15.48    -5.14       20.90   -15.58    -5.10       0.129
   -3.66    16.19    36.76       -4.44    20.56    38.54       4.782
  -11.57    -0.60    25.53       -8.43    -0.13    24.84       3.249
   15.74    24.61    25.39       15.52    23.00    25.26       1.627
   -6.34     7.38    -8.53       -6.65     8.36    -8.45       1.029
   32.29     5.93   -32.41       29.76     6.88   -28.72       4.567
  -41.03   -29.93   -22.62      -37.24   -25.49   -23.11       5.863
  -16.65    25.60     8.42      -11.17    19.71    16.69      11.531
  -17.49   -23.73    -4.35      -18.17   -21.35    -7.80       4.247
  -10.58     2.91    14.33      -11.89     2.79    14.56       1.334
   21.27    25.26    14.29       20.64    23.58    13.92       1.841
    2.89    15.39    50.31        1.88    18.87    50.90       3.674
   12.32   -19.90    -4.26       13.01   -17.12    -4.93       2.947
    4.05    25.34    20.04        4.01    24.08    19.87       1.269
   -6.42     8.41   -11.25       -6.44     8.50   -11.25       0.088
   14.59    21.53    35.97       14.67    21.90    35.99       0.374
  -15.94     5.19   -11.22      -15.95     5.22   -11.21       0.035
   11.38     8.39    54.64       11.30     7.86    62.98       8.357
   36.73    13.07   -26.52       32.58    11.39   -23.80       5.235
   17.01   -12.17   -18.13       16.91   -12.45   -18.48       0.457
   17.47     4.53    35.19       24.48     3.45    36.44       7.204
   14.98    12.45    39.68       20.38    17.25    40.34       7.254
  -46.46   -16.58   -16.46      -41.61   -15.44   -18.13       5.255
    6.33   -18.33    -6.63        6.71   -16.01    -6.96       2.370
   21.25    26.91    11.95       20.45    24.21    11.34       2.883
   -9.67    27.57     3.37       -2.01    19.46     9.89      12.923
