400 PA5-E-OurOutput-Iter=9.txt 6
-3.812986   11.125339   -93.724116   162.437208   87.897783   -48.773062
    2.10     5.84   -14.51        2.01     5.73   -14.44       0.155
   30.34   -11.46   -22.63       30.54   -10.56   -22.05       1.089
  -15.24   -26.05   -15.73      -15.06   -26.42   -15.44       0.499
   -2.11    -4.66   -37.24       -1.71    -4.40   -37.44       0.521
   -0.93    -3.54    41.47       -0.91    -3.62    41.54       0.102
  -36.66   -19.76   -35.09      -36.01   -19.32   -35.01       0.789
   30.36     1.62    24.74       30.23     1.67    24.70       0.148
   -9.94   -25.45   -36.90       -9.94   -25.45   -36.90       0.001
   34.15     0.96   -17.47       34.11     0.94   -17.45       0.054
   39.43    12.05    -2.20       39.22    11.73    -2.12       0.393
   22.07    -8.44    18.34       22.02    -8.17    18.26       0.279
   19.88   -16.10   -21.57       19.89   -16.10   -21.56       0.006
    0.07    -1.87    46.03        0.04    -2.14    46.16       0.306
    2.26   -21.13   -26.63        2.47   -21.36   -26.59       0.314
  -32.76    -5.65   -46.77      -32.20    -5.75   -46.34       0.711
   13.75   -18.18   -13.85       13.94   -17.95   -13.97       0.322
    8.75    -7.18   -24.05        8.38    -7.56   -23.34       0.888
   42.93     2.06    -9.68       42.69     2.05    -9.72       0.251
   -3.22    14.64     0.81       -2.40    14.63     1.15       0.885
  -32.88    10.03   -30.03      -32.95    10.24   -30.06       0.223
  -16.01    -1.90   -48.39      -16.02    -1.89   -48.61       0.215
   -1.51    21.43    37.75       -1.49    20.97    37.81       0.463
   -6.40    -6.16    17.83       -6.17    -5.83    17.77       0.404
   -4.45   -18.10   -41.12       -4.54   -18.04   -41.05       0.126
   15.99    27.12    44.94       15.42    26.40    45.07       0.929
   12.77   -15.56    -9.74       12.81   -15.91    -9.63       0.370
  -29.22   -26.84   -23.61      -29.13   -26.71   -23.62       0.153
   41.38     8.75    -3.82       40.98     8.57    -3.84       0.443
   -0.54    -0.07   -26.04       -0.24     0.01   -26.16       0.327
   40.68     0.80   -12.22       40.70     0.29   -12.02       0.543
  -16.83     1.22   -47.66      -16.84     1.37   -47.88       0.274
   -6.78   -23.79   -22.02       -6.33   -24.19   -21.54       0.770
    2.79    -4.55    37.66        2.82    -4.57    37.68       0.044
    9.22   -10.09    16.77        9.19    -9.89    16.69       0.219
   29.34   -10.66    -3.89       29.17   -10.52    -3.94       0.229
