400 PA5-F-OurOutput-Iter=9.txt 6
68.511388   51.239774   65.930723   -130.901287   20.006139   -76.410354
   20.43    16.97   -29.82       20.28    16.74   -30.00       0.327
   11.60   -16.01    -1.03       11.55   -15.84    -1.11       0.191
   -6.17     1.35    38.95       -5.65     1.42    38.94       0.526
  -46.37   -17.20   -27.75      -45.82   -17.27   -27.48       0.612
  -11.89     0.32    -0.93      -11.98     0.39    -0.88       0.124
   12.16    -2.46   -23.40       12.07    -2.48   -23.64       0.262
   -5.30     5.14     6.83       -5.43     5.23     6.80       0.164
  -32.88   -11.64    -5.31      -32.70   -11.62    -4.97       0.390
   21.05     9.04   -23.70       20.83     9.14   -24.03       0.413
   33.46     6.61   -30.89       33.15     6.57   -30.74       0.344
  -27.68   -24.31   -47.82      -27.61   -23.95   -47.54       0.469
   -8.10   -14.92   -42.75       -8.08   -14.92   -42.78       0.038
   36.27    14.84   -14.99       36.11    14.81   -14.99       0.156
  -15.38    -3.29    -2.63      -15.58    -3.19    -2.55       0.233
  -11.05   -21.97    -6.52      -11.04   -21.77    -6.74       0.304
   22.96    -0.01    19.93       22.84     0.07    19.90       0.152
  -24.54     5.91   -16.60      -24.43     6.35   -16.33       0.531
   -6.44     5.82    24.69       -6.57     5.79    24.71       0.132
    0.14     7.50    -9.74        0.09     7.69    -9.72       0.196
   32.73     0.85     7.00       32.87     0.83     7.04       0.142
   10.78   -16.62    -3.19       10.77   -16.65    -3.19       0.033
   -6.96   -25.86   -34.91       -7.06   -25.73   -34.85       0.170
  -20.22   -33.98   -23.86      -20.29   -33.67   -23.89       0.320
   10.63    -3.65    66.42       10.71    -3.76    66.41       0.144
  -41.36     2.78   -33.30      -41.52     2.97   -33.29       0.243
   34.60    14.40   -22.07       34.51    14.38   -22.06       0.094
  -12.32   -18.90   -46.73      -12.24   -18.89   -46.86       0.146
   22.05     5.56    28.71       21.99     5.57    28.70       0.064
  -44.56    -1.04   -35.19      -44.40    -1.18   -35.13       0.222
  -30.73   -33.17   -21.85      -30.69   -33.10   -21.87       0.083
    4.92    16.78     5.20        4.81    16.84     5.12       0.145
   26.80    23.81   -20.06       26.85    23.87   -20.07       0.077
    7.90     0.77   -22.08        7.88     0.90   -22.26       0.225
    2.96    16.63     7.10        3.03    16.59     7.16       0.098
    0.78    23.00    18.39        0.38    22.03    18.55       1.059
  -41.09   -10.89   -10.21      -41.10   -10.89   -10.21       0.007
  -12.68   -31.90   -26.73      -12.77   -31.72   -26.71       0.202
  -20.93   -21.38    -7.01      -20.93   -21.39    -6.86       0.144
   18.69    21.73   -19.63       18.14    21.90   -19.57       0.578
   -1.44    23.24    27.48       -1.67    22.74    27.37       0.554
    5.79   -16.72   -20.32        5.68   -16.58   -20.30       0.179
    7.65    20.93    25.39        7.65    20.73    25.36       0.201
   15.55    12.15    57.52       15.88    12.33    57.60       0.380
  -32.21    -9.56   -50.59      -32.19    -9.58   -50.53       0.061
   22.83   -12.87   -12.61       22.91   -13.04   -12.61       0.186
    1.54    -5.79    28.94        1.55    -5.77    28.94       0.022
   -0.40    -3.79    58.19       -0.47    -3.95    58.17       0.179
  -20.09    -5.50   -49.98      -20.09    -5.50   -49.98       0.003
   18.15    19.27   -21.82       17.68    19.17   -21.74       0.482
   13.11    19.44    -4.47       12.56    19.61    -4.64       0.599
  -26.31     8.30   -38.71      -26.31     8.31   -38.72       0.008
   16.36    20.86    -9.67       16.18    20.77    -9.78       0.234
  -14.49   -30.47   -16.29      -14.57   -30.30   -16.36       0.205
    5.98    20.76     9.86        6.00    20.45     9.91       0.312
   -9.14    22.31    21.04       -8.58    21.64    21.14       0.883
   21.20     2.29    29.41       21.11     2.33    29.40       0.099
   -0.23    22.46    28.37       -0.48    21.99    28.32       0.539
   18.42    22.08   -14.41       17.84    21.96   -14.53       0.611
    3.18    -4.06    69.95        3.19    -4.03    69.62       0.334
    4.41     9.43    -3.78        4.23     9.80    -3.95       0.444
