150 PA5-G-OurOutput-Iter=1.txt 6
-2.969183   54.929591   5.586742   -46.029444   30.481853   -40.550607
   29.51    18.57     6.35       30.67    19.87     6.50       1.748
  -29.48   -23.13    -9.29      -29.45   -23.08    -9.38       0.104
    3.36    13.38    45.55        2.14    19.48    46.43       6.279
   -1.99     9.09    57.81       -5.76    10.97    57.49       4.227
   10.11     8.01    -4.78        8.04    12.49    -9.72       6.980
   -8.65    12.53    33.47      -10.04    11.31    34.86       2.317
   -5.84    14.12    33.34       -9.64    11.64    35.55       5.049
   -1.82   -11.60   -33.52       -0.63   -11.41   -33.79       1.235
    0.33    -3.01    36.42       -0.80    -6.43    36.81       3.621
  -28.90    10.60   -25.95      -28.91    10.61   -25.94       0.020
   20.09    -2.31   -18.21       17.79    -2.14   -22.70       5.052
  -14.85   -18.91    -6.87      -14.90   -18.80    -7.00       0.175
  -42.01   -18.45   -17.24      -40.64   -17.90   -17.87       1.605
   30.21    -2.52   -15.34       34.20    -5.77   -16.74       5.330
    8.91    -7.84    32.12        8.78    -6.70    32.05       1.146
    8.02    10.77    65.93        7.89    10.75    63.24       2.692
  -29.82     8.51   -39.20      -29.16     6.74   -38.22       2.129
   14.16    23.11    15.16       14.40    24.69    15.50       1.636
   -2.86   -19.68   -37.83       -3.30   -19.39   -37.54       0.600
  -30.40   -33.06   -24.09      -29.40   -31.07   -24.30       2.234
   13.93    16.26    -0.89        6.47    17.71    -5.51       8.893
   -1.57    12.06    20.12       -6.84    16.49    12.78      10.060
   -3.72    -8.96   -35.84       -1.77    -8.47   -36.39       2.087
    8.98    -4.86    64.87        8.93    -4.87    63.41       1.453
   23.86   -10.44    -3.41       24.25   -11.80    -2.61       1.619
   29.69    18.50     1.44       31.30    19.68     1.37       1.995
   21.69    10.30   -23.37       18.08     8.26   -26.24       5.045
   17.54    21.64    23.99       17.85    22.66    24.06       1.067
  -37.15   -14.73   -51.50      -33.86   -13.21   -46.07       6.537
  -25.66   -28.47   -44.73      -25.83   -25.84   -41.95       3.830
   25.11     8.11   -23.63       19.35     6.42   -26.53       6.662
   15.38     6.02    64.60       15.48     5.97    63.12       1.486
   33.58     1.70   -26.84       31.89     1.79   -25.75       2.016
    8.05     7.33    -8.43        7.40    11.12   -10.99       4.616
   -6.87    13.72    31.34      -10.06    10.94    34.51       5.287
   -2.23    11.93    42.41       -6.63    11.87    43.94       4.662
   13.11    20.39    61.44       12.87    20.04    61.37       0.432
    9.80    18.74    21.82        9.94    23.75    22.81       5.110
  -43.63    -7.05   -19.61      -43.01    -7.06   -19.77       0.640
   17.66     1.88    49.48       20.91     0.27    49.99       3.662
   33.76     4.46     6.65       37.34     4.68     9.50       4.579
   23.68    -6.03     8.64       23.98    -7.41     9.05       1.473
    5.54    -5.50    41.35        5.70    -6.92    41.36       1.431
  -36.87   -20.45   -12.75      -36.54   -20.30   -12.95       0.413
   22.58     6.85   -19.46       16.36     6.29   -20.81       6.388
   21.88    25.83     7.61       21.45    24.79     7.32       1.158
  -14.24     9.34   -38.48      -14.53     8.48   -37.84       1.113
   -8.15     7.94    40.67       -7.25     7.98    40.51       0.917
   13.18    -2.94    49.08       14.30    -5.53    49.23       2.830
   -7.41     1.75     0.28      -11.37     6.28     0.54       6.022
  -12.39   -15.89   -50.81      -13.97   -15.27   -47.72       3.528
   11.40    19.46    25.17       11.47    23.24    25.61       3.814
    6.49   -20.42   -12.45        4.84   -17.11   -12.38       3.699
  -34.51   -29.36   -20.29      -33.47   -28.06   -20.68       1.710
   15.02    22.12    -0.82       14.56    26.97    -0.64       4.869
   19.89    14.22    37.15       21.96    15.36    37.67       2.418
   -1.47    12.24    20.33       -6.84    16.49    12.78      10.196
  -23.80    10.97   -37.44      -23.41     9.77   -36.52       1.567
   -1.88   -19.96    -7.54       -2.09   -17.81    -8.57       2.390
   23.71    12.02    23.07       26.53    13.54    24.07       3.358
  -16.34   -31.63   -38.66      -16.83   -29.46   -37.49       2.514
   -8.71     3.59   -10.24      -10.08     7.17    -9.78       3.856
   -5.65   -24.71    -8.34       -7.49   -21.27   -10.62       4.523
   19.97   -13.20     7.26       18.45   -10.28     5.77       3.612
   29.39     2.56    13.09       32.29     1.63    15.45       3.849
   11.69    20.67    15.16       11.81    24.75    15.72       4.129
  -16.41   -20.84   -50.72      -17.08   -19.67   -46.75       4.195
