400 PA5-H-OurOutput-Iter=1.txt 6
-13.370944   35.107763   -19.791742   26.522040   18.007088   -41.333074
   31.04     9.50   -22.42       33.13    10.10   -23.40       2.379
   27.26     1.23    19.93       28.77     0.65    20.60       1.744
  -12.89   -26.82   -39.08      -12.74   -27.10   -39.30       0.392
   -1.33   -22.77   -34.96       -2.57   -22.04   -33.93       1.772
   18.59    -1.87    52.42       18.72    -1.99    52.45       0.186
  -27.46   -26.84   -41.41      -27.29   -26.31   -41.02       0.678
  -33.72     9.62   -42.27      -30.98     5.40   -39.09       5.946
  -22.68   -22.92   -48.16      -21.98   -21.47   -46.27       2.487
   -1.11   -14.50    -7.04       -0.78   -16.40    -6.08       2.157
  -15.86   -11.28   -53.88      -17.01   -10.79   -48.80       5.228
  -12.42   -27.55   -28.83      -11.10   -30.06   -29.28       2.860
    7.30    -3.54    30.48        7.83    -6.93    30.68       3.437
  -38.20    -6.05   -17.31      -40.86    -5.50   -16.03       3.003
    3.63    -1.40    59.27        3.63    -1.31    63.33       4.060
  -13.85    -3.43   -54.00      -14.09    -5.34   -47.53       6.748
    8.24    -7.42   -23.96        7.45    -7.39   -22.87       1.343
  -31.07     1.73   -12.35      -30.93     1.31   -12.90       0.710
  -14.70    12.24    19.09      -13.97    12.80    19.47       0.997
   25.85    -7.98   -22.91       26.07    -8.62   -23.99       1.273
   21.83    -3.06    28.85       22.09    -3.41    28.96       0.446
   20.95     2.70    53.65       21.34     2.54    53.71       0.424
  -17.77    15.15   -36.84      -18.51    10.65   -35.50       4.744
    1.90    19.90    20.63        2.05    23.98    21.17       4.116
   -4.40     1.29    36.18       -6.71     1.12    36.48       2.334
   19.96     1.21    57.71       20.21     1.08    57.75       0.286
   26.11     4.79   -28.66       26.29     4.46   -29.84       1.236
  -41.20     0.21   -31.12      -40.83    -0.06   -30.97       0.483
  -24.39    13.52   -41.40      -23.68     8.85   -37.60       6.058
    5.23    -1.70    41.14        5.81    -6.91    41.19       5.240
    0.37   -11.38   -37.42       -1.52   -11.60   -36.58       2.074
   17.54    25.52     5.64       17.75    26.45     5.73       0.959
