400 PA5-J-OurOutput-Iter=3.txt 6
-29.536995   -22.841129   -14.552103   -9.690333   -72.196187   -53.159305
  -16.80   -33.29   -16.91      -17.15   -32.46   -17.28       0.969
   -6.18   -29.24   -16.20       -6.89   -28.06   -16.71       1.468
   -8.41     4.67    52.26       -7.91     4.71    52.30       0.497
   -3.94    10.34   -10.45       -3.80     9.84   -10.40       0.517
   17.41     0.48   -27.27       19.08     1.01   -25.90       2.235
   -3.71    14.34    52.27       -4.20    14.80    52.33       0.677
   -0.79    -2.01   -26.46       -0.57    -1.90   -26.63       0.294
   11.98    -8.59    31.70       11.92    -7.20    31.71       1.388
  -22.26     4.20    -9.36      -21.67     3.41    -9.97       1.162
   12.62   -19.64   -10.45       12.65   -17.59   -10.08       2.089
   33.62     0.00     9.54       34.59    -0.35    10.43       1.363
   34.54     3.63   -22.69       34.60     3.62   -22.71       0.074
  -15.43    12.89   -21.04      -15.35    12.63   -21.19       0.307
   37.69     2.37     3.70       38.79     2.11     3.80       1.134
   11.61    18.12    51.94       11.79    20.03    52.49       1.991
   24.40     6.32    39.25       24.21     6.31    39.21       0.191
   -3.66   -15.85     0.18       -3.59   -14.75    -0.35       1.226
   -0.59     9.58   -12.38       -0.58     9.67   -12.40       0.095
   28.99   -14.05   -22.48       28.39   -13.46   -21.84       1.056
    4.10    10.43   -10.85        4.10    10.56   -10.93       0.146
   10.08    28.66    12.96       10.49    27.25    12.81       1.475
   34.23    -2.63   -20.92       34.49    -2.72   -21.06       0.309
  -25.43    -0.70    -7.85      -25.20    -1.16    -8.33       0.706
  -23.49    -1.18   -49.35      -23.63    -1.70   -47.91       1.538
   -9.97     8.88    26.25      -10.52     8.62    26.41       0.633
  -19.74   -32.39   -37.97      -19.68   -31.08   -37.18       1.537
  -37.37   -12.44   -45.08      -36.17   -12.50   -44.19       1.484
   32.50    -8.96   -13.99       33.20    -9.26   -13.91       0.771
  -19.09   -31.42   -13.63      -19.27   -30.86   -14.08       0.738
    3.12    20.53    42.77        3.12    20.43    42.75       0.104
   18.72   -12.37     3.11       18.45   -11.84     2.87       0.630
  -26.24   -16.17    -5.05      -26.26   -16.12    -5.19       0.147
   23.14     5.53    48.07       22.85     5.52    48.04       0.293
   -6.14    -7.31    18.68       -5.97    -7.16    18.63       0.233
    0.37   -23.72   -34.55       -0.72   -22.88   -33.71       1.615
  -23.07   -11.63    -3.71      -23.05   -11.62    -3.76       0.059
    8.10    -8.84    36.38        8.06    -7.40    36.41       1.448
    4.43    -7.90   -24.51        4.44    -7.90   -24.53       0.019
  -39.27     4.31   -32.60      -38.44     3.73   -32.23       1.084
    5.50    22.36    -3.60        6.40    21.92    -3.19       1.078
   -5.83    14.35    44.85       -6.26    14.58    45.00       0.513
  -43.05   -17.52   -30.28      -42.24   -17.14   -29.78       1.026
  -20.87   -32.95   -37.45      -20.69   -31.32   -36.56       1.870
  -31.53    -8.53    -6.03      -31.47    -8.58    -6.06       0.083
  -31.55   -13.75   -49.25      -30.72   -13.28   -47.08       2.365
  -16.11   -27.91   -10.11      -16.26   -27.51   -10.60       0.646
  -17.38     9.41   -14.22      -17.31     8.87   -14.46       0.594
   -6.33   -30.34   -22.55       -6.93   -29.28   -22.71       1.231
   34.37    -4.44   -13.04       35.04    -4.93   -12.82       0.856
   36.83    -1.41    -2.80       36.90    -1.47    -2.80       0.088
  -32.33    11.08   -24.40      -31.80    10.38   -24.42       0.868
   -5.86   -25.02    -9.25       -6.31   -23.66   -10.43       1.859
    6.76    18.39   -22.45        8.84    19.42   -22.84       2.354
   20.82    14.88    37.07       21.15    15.09    37.16       0.397
   -6.09     9.95    -9.97       -6.09     9.38    -9.99       0.571
   23.83    -6.80   -28.33       23.66    -6.43   -27.45       0.972
   37.02    -0.70    -4.17       37.25    -0.91    -4.15       0.313
   16.31    -8.88    24.01       16.16    -7.26    23.86       1.636
   -6.66     1.12   -37.43       -6.02     1.47   -37.92       0.877
  -20.76   -34.50   -33.86      -20.61   -32.88   -33.29       1.723
  -43.94    -9.50   -26.09      -43.88    -9.50   -26.07       0.061
  -28.10   -22.48    -5.95      -27.83   -22.16    -6.46       0.651
   17.27    -8.94    21.24       17.12    -7.42    21.10       1.532
   -9.90    30.75    20.55      -10.27    28.17    21.26       2.698
  -29.87   -30.07   -38.45      -29.09   -28.61   -37.46       1.921
    8.34    12.05    -8.71        8.29    12.24    -8.84       0.241
    7.03    18.00   -22.60        9.03    18.99   -22.99       2.263
   28.72     7.57    20.51       29.12     7.58    20.68       0.435
   23.19     1.87    47.53       22.28     2.06    47.43       0.934
   11.61    -1.44    56.72       11.03    -2.21    62.25       5.613
   33.37    -6.77   -15.38       34.28    -7.00   -15.40       0.944
    6.60    27.20    16.43        6.78    25.88    16.24       1.354
  -18.01    -4.51   -51.39      -18.82    -5.60   -48.84       2.890
   -0.55   -16.48    -0.09       -0.72   -15.10    -0.76       1.545
   31.12    -8.60    -1.67       31.26    -8.67    -1.61       0.166
   -1.21    17.76    48.94       -1.29    17.82    49.02       0.132
  -31.98   -31.91   -20.50      -31.10   -30.56   -20.83       1.641
   -0.53   -18.10    -2.93       -0.63   -17.06    -3.73       1.317
   10.31    -9.47    19.36       10.39    -8.20    18.93       1.340
  -39.16   -10.74   -35.65      -39.02   -10.68   -35.67       0.151
   14.08    -9.80    48.41       13.37    -7.60    48.33       2.317
   -4.09    -5.16    41.35       -3.47    -4.53    41.42       0.893
    4.52    -9.45   -24.47        4.53    -9.45   -24.47       0.008
  -10.13    30.02    30.24      -10.31    27.76    29.47       2.392
  -12.35    10.50    21.88      -12.52    10.40    21.93       0.202
   21.51     0.73    53.53       21.20     0.88    53.49       0.340
   12.07    -8.93    35.42       12.04    -7.09    35.30       1.839
  -18.34    -4.76     0.13      -17.94    -4.64    -0.15       0.497
    5.51    -3.71    55.76        4.92    -8.58    55.51       4.909
   -0.74    -7.62    47.10       -0.07    -6.29    47.23       1.501
  -13.32    23.10    12.75      -12.08    22.46    14.72       2.420
    3.20    -2.35   -23.29        3.30    -2.20   -23.57       0.332
   -7.49     4.57    32.72       -7.83     4.51    32.75       0.350
  -17.22   -17.75   -50.48      -17.81   -16.76   -48.39       2.385
  -26.48   -34.09   -32.06      -26.22   -32.71   -31.50       1.512
  -31.36    12.11   -28.32      -30.79    11.22   -28.34       1.050
  -16.88   -17.25   -50.65      -17.49   -16.25   -48.55       2.409
   28.68     9.37    19.99       29.13     9.54    20.16       0.513
  -38.95     4.35   -20.31      -38.34     3.79   -20.48       0.846
  -33.28     9.83   -21.24      -32.80     9.16   -21.43       0.844
  -22.29    15.68   -23.76      -22.41    14.37   -23.66       1.316
    9.11   -17.82   -16.39        8.62   -16.82   -15.75       1.280
   -6.02    10.36    50.59       -6.65    10.58    50.65       0.668
   -7.88   -26.54   -11.22       -8.50   -25.49   -11.80       1.348
   10.25    -1.13   -22.70       10.49    -1.12   -21.91       0.822
    6.05     0.20   -21.25        6.04     0.20   -21.24       0.011
   17.43   -15.43    -2.03       17.13   -15.08    -2.32       0.544
    5.40   -18.30   -19.78        4.90   -18.07   -19.51       0.618
   -8.50   -21.25    -7.36       -8.53   -21.17    -7.50       0.163
  -19.50    -9.24    -2.48      -19.61    -9.26    -2.10       0.399
  -31.33     7.03   -39.52      -30.80     6.08   -38.92       1.239
    4.96    -9.45    23.55        4.88    -8.57    23.38       0.893
   16.53    24.77    24.17       16.27    23.90    23.98       0.924
  -35.58     7.48   -17.91      -34.55     6.77   -17.95       1.249
    2.48    -9.15    46.34        2.79    -7.30    46.52       1.880
    0.59    -5.47   -26.50        0.78    -5.43   -26.69       0.270
   16.03    -8.84    21.50       15.89    -7.52    21.35       1.337
    9.71    16.48   -14.25       11.21    17.67   -14.56       1.933
   -5.46   -22.29    -6.74       -5.92   -21.61    -8.33       1.782
   -2.74    -2.41   -29.03       -2.47    -2.30   -29.23       0.350
   36.09    -1.09   -13.41       37.10    -1.51   -13.69       1.127
   -0.31     5.87   -18.97        0.13     6.40   -19.30       0.752
   24.03    16.21    22.28       24.72    16.64    22.49       0.839
  -38.86   -11.03    -9.85      -38.36   -10.96   -10.16       0.587
   -3.20    -9.38   -36.24       -2.60    -9.43   -36.81       0.828
    5.46    23.39    -2.59        6.65    22.54    -2.35       1.482
  -26.54   -33.11   -34.90      -26.11   -31.62   -34.05       1.773
    3.56    19.42    -1.11        4.15    19.16    -0.61       0.818
   -4.57    -2.82    31.92       -5.07    -3.36    32.24       0.803
  -14.36   -20.62    -6.10      -14.45   -20.48    -6.29       0.250
   -3.18   -26.18   -12.33       -3.86   -24.35   -13.17       2.123
   23.39     9.74   -30.70       23.39     9.88   -29.96       0.754
    8.61    26.55    -5.43        9.94    24.99    -5.21       2.060
   22.75     7.80    50.54       22.45     7.79    50.49       0.300
    9.43    -4.15   -22.59        9.34    -4.20   -21.99       0.608
   21.41    10.80    51.31       21.54    10.86    51.33       0.144
   18.73    -8.07    30.92       18.15    -6.53    30.76       1.643
    8.81    27.00    -0.86        9.55    25.92    -0.87       1.310
  -12.60   -29.95   -39.71      -13.11   -28.75   -38.68       1.653
    2.45    -6.16   -25.31        2.48    -6.15   -25.35       0.056
    2.99   -23.68   -12.72        1.46   -21.63   -13.48       2.664
   21.31   -11.67     1.52       21.07   -11.21     1.26       0.580
   19.99    27.14    -4.02       19.99    27.13    -4.02       0.005
  -21.45    15.82   -30.58      -21.40    14.10   -30.15       1.775
    2.05    21.66     3.21        2.93    20.98     3.57       1.163
   -1.61    -6.53    34.06       -1.44    -6.07    33.96       0.505
   16.15   -14.83     0.43       15.93   -14.23     0.17       0.692
